"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 06 22:15:40 GMT 2024","Tue Aug 06 22:15:43 GMT 2024","3175","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithAllOptionsByCssSelector","Deve buscar e validar CEP por ID selecionando Todas as Opções","Validate CSS SELECTOREnter a valid zip code; Selects Community All Options; Click to seek zip code and Confirm that captcha is not informed"
"passed","Tue Aug 06 22:15:15 GMT 2024","Tue Aug 06 22:15:20 GMT 2024","5190","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithOperatingUnitOptionByXpath","Deve buscar e validar CEP por XPATH selecionando Unidade Operacional","Validate BY XPATHEnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Tue Aug 06 22:16:04 GMT 2024","Tue Aug 06 22:16:07 GMT 2024","3299","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithAllOptionsByXpath","Deve buscar e validar CEP por XPATH selecionando Todos","Validate BY XPATHEnter a valid zip code; Selects Community All Options; Click to seek zip code and Confirm that captcha is not informed"
"skipped","Tue Aug 06 22:16:17 GMT 2024","Tue Aug 06 22:16:17 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithOperatingUnitOptionById","Deve buscar e validar CEP por ID selecionando Unidade Operacional","Validate BY IDEnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and valid non-existing zip code;"
"skipped","Tue Aug 06 22:16:17 GMT 2024","Tue Aug 06 22:16:17 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingOptionLogradouroByXpath","Deve buscar e validar CEP por XPATH","Validate BY XPATHEnter the post office website; Look for an invalid Zip Code; Confirms that zip code does not exist; Return to the home screen; Search for a valid zip code Confirm that the result is: Rua Quinze de Novembro - odd side, São Paulo/SP; Returns to the home screen; "
"skipped","Tue Aug 06 22:16:17 GMT 2024","Tue Aug 06 22:16:17 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithCommunityMailboxById","Deve buscar e validar CEP por ID selecionando Caixa Postal Comunitária","Validate BY IDEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and valid non-existing zip code;"
"skipped","Tue Aug 06 22:16:17 GMT 2024","Tue Aug 06 22:16:17 GMT 2024","1","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithAllOptionsById","Deve buscar e validar CEP por ID selecionando Todas as Opções","Validate BY IDEnter a valid zip code; Selects Community All Options; Click to seek zip code and valid non-existing zip code;"
"skipped","Tue Aug 06 22:16:17 GMT 2024","Tue Aug 06 22:16:17 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingBigUserOptionByXpath","Deve buscar e validar CEP por XPATH selecionando Grande Usuário","Validate BY XPATHEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and valid non-existing zip code;"
"skipped","Tue Aug 06 22:16:17 GMT 2024","Tue Aug 06 22:16:17 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithOperatingUnitOptionByXpath","Deve buscar e validar CEP por XPATH selecionando Unidade Operacional","Validate BY XPATHEnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and valid non-existing zip code;"
"passed","Tue Aug 06 22:16:00 GMT 2024","Tue Aug 06 22:16:04 GMT 2024","4332","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingBigUserOptionByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando Grande Usuário","Validate CSS SELECTOREnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and vConfirm that captcha is not informed"
"skipped","Tue Aug 06 22:16:17 GMT 2024","Tue Aug 06 22:16:17 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithCommunityMailboxByXpath","Deve buscar e validar CEP por XPATH selecionando Caixa Postal Comunitária","Validate BY XPATHEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and valid non-existing zip code;"
