"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 02 19:27:56 GMT 2024","Fri Aug 02 19:28:00 GMT 2024","3895","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingOptionLogradouroByXpath","Deve buscar e validar CEP por XPATH","Validate BY XPATHEnter the post office website; Look for an invalid Zip Code; Confirm that captcha is not informed"
"skipped","Fri Aug 02 19:28:00 GMT 2024","Fri Aug 02 19:28:00 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingOptionLogradouroByCssSelector","Deve buscar e validar CEP por CSS Selector","Validate BY CSS SELECTOREnter the post office website; Look for an invalid Zip Code; Confirms that zip code does not exist; Return to the home screen; Search for a valid zip code Confirm that the result is: Rua Quinze de Novembro - odd side, São Paulo/SP; Returns to the home screen; "
"skipped","Fri Aug 02 19:28:00 GMT 2024","Fri Aug 02 19:28:00 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingOptionLogradouroByID","Deve buscar e validar CEP por ID","Validate BY IDEnter the post office website; Look for an invalid Zip Code; Confirms that zip code does not exist; Return to the home screen; Search for a valid zip code Confirm that the result is: Rua Quinze de Novembro - odd side, São Paulo/SP; Returns to the home screen; "
"passed","Fri Aug 02 19:26:54 GMT 2024","Fri Aug 02 19:26:58 GMT 2024","3879","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingBigUserOptionById","Deve buscar e validar CEP por ID selecionando Grande Usuário","Validate BY IDEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Fri Aug 02 19:27:18 GMT 2024","Fri Aug 02 19:27:23 GMT 2024","5180","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithCommunityMailboxByXpath","Deve buscar e validar CEP por XPATH selecionando Caixa Postal Comunitária","Validate BY XPATHEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Fri Aug 02 19:26:50 GMT 2024","Fri Aug 02 19:26:54 GMT 2024","3977","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingBigUserOptionByXpath","Deve buscar e validar CEP por XPATH selecionando Grande Usuário","Validate BY XPATHEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and Confirm that captcha is not informed"
"skipped","Fri Aug 02 19:28:00 GMT 2024","Fri Aug 02 19:28:00 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingBigUserOptionByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando Grande Usuário","Validate CSS SELECTOREnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and valid non-existing zip code;"
"passed","Fri Aug 02 19:27:10 GMT 2024","Fri Aug 02 19:27:14 GMT 2024","4347","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithAllOptionsByCssSelector","Deve buscar e validar CEP por ID selecionando Todas as Opções","Validate CSS SELECTOREnter a valid zip code; Selects Community All Options; Click to seek zip code and Confirm that captcha is not informed"
"skipped","Fri Aug 02 19:28:00 GMT 2024","Fri Aug 02 19:28:00 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingBigUserOptionByXpath","Deve buscar e validar CEP por XPATH selecionando Grande Usuário","Validate BY XPATHEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and valid non-existing zip code;"
"passed","Fri Aug 02 19:27:02 GMT 2024","Fri Aug 02 19:27:06 GMT 2024","3916","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingOptionLogradouroByID","Deve buscar e validar CEP por ID","Validate BY IDEnter the post office website; Look for an invalid Zip Code; Confirm that captcha is not informed"
