"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Aug 02 18:56:44 GMT 2024","Fri Aug 02 18:56:44 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithCommunityMailboxByXpath","Deve buscar e validar CEP por XPATH selecionando Caixa Postal Comunitária","Validate BY XPATHEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and valid non-existing zip code;"
"skipped","Fri Aug 02 18:56:44 GMT 2024","Fri Aug 02 18:56:44 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithCommunityMailboxByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando Caixa Postal Comunitária","Validate CSS SELECTOREnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and valid non-existing zip code;"
"skipped","Fri Aug 02 18:56:44 GMT 2024","Fri Aug 02 18:56:44 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithCommunityMailboxById","Deve buscar e validar CEP por ID selecionando Caixa Postal Comunitária","Validate BY IDEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and valid non-existing zip code;"
"skipped","Fri Aug 02 18:56:44 GMT 2024","Fri Aug 02 18:56:44 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingOptionLogradouroByCssSelector","Deve buscar e validar CEP por CSS Selector","Validate BY CSS SELECTOREnter the post office website; Look for an invalid Zip Code; Confirms that zip code does not exist; Return to the home screen; Search for a valid zip code Confirm that the result is: Rua Quinze de Novembro - odd side, São Paulo/SP; Returns to the home screen; "
"passed","Fri Aug 02 18:56:32 GMT 2024","Fri Aug 02 18:56:36 GMT 2024","4429","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithCommunityMailboxByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando Caixa Postal Comunitária","Validate CSS SELECTOREnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Fri Aug 02 18:56:13 GMT 2024","Fri Aug 02 18:56:17 GMT 2024","3931","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingOptionLogradouroByCssSelector","Deve buscar e validar CEP por CSS Selector","Validate BY CSS SELECTOREnter the post office website; Look for an invalid Zip Code; Confirm that captcha is not informed"
"passed","Fri Aug 02 18:55:31 GMT 2024","Fri Aug 02 18:55:35 GMT 2024","3914","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingBigUserOptionByXpath","Deve buscar e validar CEP por XPATH selecionando Grande Usuário","Validate BY XPATHEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Fri Aug 02 18:55:39 GMT 2024","Fri Aug 02 18:55:43 GMT 2024","3964","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithAllOptionsById","Deve buscar e validar CEP por ID selecionando Todas as Opções","Validate BY IDEnter a valid zip code; Selects Community All Options; Click to seek zip code and Confirm that captcha is not informed"
"passed","Fri Aug 02 18:56:09 GMT 2024","Fri Aug 02 18:56:13 GMT 2024","3863","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithCommunityMailboxById","Deve buscar e validar CEP por ID selecionando Caixa Postal Comunitária","Validate BY IDEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Fri Aug 02 18:55:51 GMT 2024","Fri Aug 02 18:55:55 GMT 2024","3914","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithAllOptionsByCssSelector","Deve buscar e validar CEP por ID selecionando Todas as Opções","Validate CSS SELECTOREnter a valid zip code; Selects Community All Options; Click to seek zip code and Confirm that captcha is not informed"
"skipped","Fri Aug 02 18:56:44 GMT 2024","Fri Aug 02 18:56:44 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithOperatingUnitOptionByXpath","Deve buscar e validar CEP por XPATH selecionando Unidade Operacional","Validate BY XPATHEnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and valid non-existing zip code;"
"passed","Fri Aug 02 18:56:44 GMT 2024","Fri Aug 02 18:56:50 GMT 2024","5492","","Performs validations search screen for Tracking code","","br.com.correios.address.tests.TrackingTest","mustSearchValidZipCodeSelectingOptionLogradouroByID","Deve buscar e validar Código de rastreio por ID","Validate BY IDShould access the mail tracking screen;Search for an invalid code;Confirm that the code is incorrect and close the browser;"
"skipped","Fri Aug 02 18:56:44 GMT 2024","Fri Aug 02 18:56:44 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithOperatingUnitOptionByCssSelector","Deve buscar e validar CEP por Css Slector selecionando Unidade Operacional","Validate CSS SELECTOREnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and valid non-existing zip code;"
"passed","Fri Aug 02 18:55:27 GMT 2024","Fri Aug 02 18:55:31 GMT 2024","3931","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithOperatingUnitOptionById","Deve buscar e validar CEP por ID selecionando Unidade Operacional","Validate BY IDEnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and Confirm that captcha is not informed"
"skipped","Fri Aug 02 18:56:44 GMT 2024","Fri Aug 02 18:56:44 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingOptionLogradouroByID","Deve buscar e validar CEP por ID","Validate BY IDEnter the post office website; Look for an invalid Zip Code; Confirms that zip code does not exist; Return to the home screen; Search for a valid zip code Confirm that the result is: Rua Quinze de Novembro - odd side, São Paulo/SP; Returns to the home screen; "
"skipped","Fri Aug 02 18:56:44 GMT 2024","Fri Aug 02 18:56:44 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingOptionLogradouroByXpath","Deve buscar e validar CEP por XPATH","Validate BY XPATHEnter the post office website; Look for an invalid Zip Code; Confirms that zip code does not exist; Return to the home screen; Search for a valid zip code Confirm that the result is: Rua Quinze de Novembro - odd side, São Paulo/SP; Returns to the home screen; "
"skipped","Fri Aug 02 18:56:44 GMT 2024","Fri Aug 02 18:56:44 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithAllOptionsByCssSelector","Deve buscar e validar CEP por ID selecionando Todas as Opções","Validate CSS SELECTOREnter a valid zip code; Selects Community All Options; Click to seek zip code and valid non-existing zip code;"
"skipped","Fri Aug 02 18:56:44 GMT 2024","Fri Aug 02 18:56:44 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeSelectingBigUserOptionById","Deve buscar e validar CEP por ID selecionando Grande Usuário","Validate BY IDEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and valid non-existing zip code;"
"passed","Fri Aug 02 18:56:05 GMT 2024","Fri Aug 02 18:56:09 GMT 2024","3831","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithTypePromotionalZipCodeById","Deve buscar e validar CEP por ID selecionando CEP Promocional","Validate BY IDEnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and Confirm that captcha is not informed"
"passed","Fri Aug 02 18:55:35 GMT 2024","Fri Aug 02 18:55:39 GMT 2024","3744","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingBigUserOptionById","Deve buscar e validar CEP por ID selecionando Grande Usuário","Validate BY IDEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Fri Aug 02 18:55:55 GMT 2024","Fri Aug 02 18:56:01 GMT 2024","6162","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithTypePromotionalZipCodeByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando CEP Promocional","Validate CSS SELECTOREnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and Confirm that captcha is not informed"
"passed","Fri Aug 02 18:56:01 GMT 2024","Fri Aug 02 18:56:05 GMT 2024","3880","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithCommunityMailboxByXpath","Deve buscar e validar CEP por XPATH selecionando Caixa Postal Comunitária","Validate BY XPATHEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and Confirm that captcha is not informed"
