"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 06 19:24:23 GMT 2024","Tue Aug 06 19:24:27 GMT 2024","4111","","Performs validations search screen for Tracking code","","br.com.correios.address.tests.TrackingTest","mustSearchValidZipCodeSelectingOptionLogradouroByCssSelector","Deve buscar e validar Código de rastreio por CSS Selector","By CSSShould access the mail tracking screen;Search for an invalid code;Confirm that the code is incorrect and close the browser;"
"passed","Tue Aug 06 19:24:18 GMT 2024","Tue Aug 06 19:24:23 GMT 2024","5563","","Performs validations search screen for Tracking code","","br.com.correios.address.tests.TrackingTest","mustSearchValidZipCodeSelectingOptionLogradouroByID","Deve buscar e validar Código de rastreio por ID","Validate BY IDShould access the mail tracking screen;Search for an invalid code;Confirm that the code is incorrect and close the browser;"
"skipped","Tue Aug 06 19:24:18 GMT 2024","Tue Aug 06 19:24:18 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithAllOptionsByXpath","Deve buscar e validar CEP por XPATH selecionando Todos","Validate BY XPATHEnter a valid zip code; Selects Community All Options; Click to seek zip code and valid non-existing zip code;"
"passed","Tue Aug 06 19:24:27 GMT 2024","Tue Aug 06 19:24:32 GMT 2024","4030","","Performs validations search screen for Tracking code","","br.com.correios.address.tests.TrackingTest","mustSearchValidZipCodeSelectingOptionLogradouroByXpath","Deve buscar e validar Código de rastreio por XPATH","Validate BY XPATHShould access the mail tracking screen;Search for an invalid code;Confirm that the code is incorrect and close the browser;"
"skipped","Tue Aug 06 19:24:18 GMT 2024","Tue Aug 06 19:24:18 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithOperatingUnitOptionByCssSelector","Deve buscar e validar CEP por Css Slector selecionando Unidade Operacional","Validate CSS SELECTOREnter a valid zip code; Selects Operating Unit Option; Click to seek zip code and valid non-existing zip code;"
"skipped","Tue Aug 06 19:24:18 GMT 2024","Tue Aug 06 19:24:18 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithTypePromotionalZipCodeByXpath","Deve buscar e validar CEP por XPATH selecionando CEP Promocional","Validate BY XPATHEnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and valid non-existing zip code;"
"passed","Tue Aug 06 19:23:38 GMT 2024","Tue Aug 06 19:23:41 GMT 2024","3203","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithTypePromotionalZipCodeByXpath","Deve buscar e validar CEP por XPATH selecionando CEP Promocional","Validate BY XPATHEnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and Confirm that captcha is not informed"
"skipped","Tue Aug 06 19:24:18 GMT 2024","Tue Aug 06 19:24:18 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithAllOptionsByCssSelector","Deve buscar e validar CEP por ID selecionando Todas as Opções","Validate CSS SELECTOREnter a valid zip code; Selects Community All Options; Click to seek zip code and valid non-existing zip code;"
"passed","Tue Aug 06 19:24:08 GMT 2024","Tue Aug 06 19:24:11 GMT 2024","3215","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithCommunityMailboxByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando Caixa Postal Comunitária","Validate CSS SELECTOREnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Tue Aug 06 19:23:44 GMT 2024","Tue Aug 06 19:23:48 GMT 2024","3346","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithTypePromotionalZipCodeByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando CEP Promocional","Validate CSS SELECTOREnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and Confirm that captcha is not informed"
"passed","Tue Aug 06 19:23:27 GMT 2024","Tue Aug 06 19:23:31 GMT 2024","3335","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeSelectingBigUserOptionById","Deve buscar e validar CEP por ID selecionando Grande Usuário","Validate BY IDEnter a valid zip code; Selects BigUser Option Option; Click to seek zip code and Confirm that captcha is not informed"
"passed","Tue Aug 06 19:23:48 GMT 2024","Tue Aug 06 19:23:51 GMT 2024","3584","","Validation new post office address search page","","br.com.correios.address.tests.AddressTestNewOficialVersionTest","mustSearchValidZipCodeWithCommunityMailboxByXpath","Deve buscar e validar CEP por XPATH selecionando Caixa Postal Comunitária","Validate BY XPATHEnter a valid zip code; Selects Community Mailbox Option; Click to seek zip code and Confirm that captcha is not informed"
"skipped","Tue Aug 06 19:24:18 GMT 2024","Tue Aug 06 19:24:18 GMT 2024","0","","Performs validations search screen for zip code Post Office","","br.com.correios.address.tests.AddressTest","mustSearchValidZipCodeWithTypePromotionalZipCodeByCssSelector","Deve buscar e validar CEP por CSS Selector selecionando CEP Promocional","Validate CSS SELECTOREnter a valid zip code; Selects the promotional Zip Code; Click to seek zip code and valid non-existing zip code;"
